,,2018 Season,,,,w/ Team,,,,Career,,,,Playoffs,,,w/ Team,,,Career,,,
Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
Steve Wilks,ARI,16,3,13,0,16,3,13,0,28,9,19,0,,,,,,,,,,
Dan Quinn,ATL,16,7,9,0,85,43,42,0,85,43,42,0,0,0,0,5,3,2,5,3,2,
John Harbaugh,BAL,16,10,6,0,258,160,98,0,258,160,98,0,1,0,1,20,11,9,20,11,9,
Sean McDermott,BUF,16,6,10,0,113,72,41,0,113,72,41,0,0,0,0,9,4,5,9,4,5,
Ron Rivera,CAR,16,7,9,0,140,76,63,1,206,102,102,2,,,,7,3,4,8,3,5,
Matt Nagy,CHI,16,12,4,0,65,34,31,0,65,34,31,0,1,0,1,2,0,2,2,0,2,
Marvin Lewis,CIN,16,6,10,0,256,131,122,3,256,131,122,3,,,,7,0,7,7,0,7,
Hue Jackson,CLE,8,2,5,1,40,3,36,1,56,11,44,1,,,,,,,0,0,0,
Gregg Williams,CLE,8,5,3,0,8,5,3,0,56,22,34,0,,,,,,,0,0,0,
Jason Garrett,DAL,16,10,6,0,152,85,67,0,152,85,67,0,2,1,1,5,2,3,5,2,3,
Vance Joseph,DEN,16,6,10,0,32,11,21,0,32,11,21,0,,,,,,,,,,
Matt Patricia,DET,16,6,10,0,43,13,29,1,43,13,29,1,,,,,,,,,,
Mike McCarthy,GNB,12,4,7,1,204,125,77,2,270,166,102,2,,,,18,10,8,21,11,10,Fired after Week 13
Joe Philbin,GNB,4,2,2,0,4,2,2,0,56,26,30,0,,,,,,,0,0,0,Interim coach after Week 13
Bill O'Brien,HOU,16,11,5,0,100,52,48,0,100,52,48,0,1,0,1,6,2,4,6,2,4,
Frank Reich,IND,16,10,6,0,74,40,33,1,85,41,43,1,2,1,1,3,1,2,3,1,2,
Doug Marrone,JAX,16,5,11,0,66,23,43,0,98,38,60,0,,,,3,2,1,3,2,1,
Andy Reid,KAN,16,12,4,0,178,127,51,0,402,257,144,1,2,1,1,19,12,7,38,22,16,
Anthony Lynn,LAC,16,12,4,0,64,33,31,0,65,33,32,0,2,1,1,2,1,1,2,1,1,
Sean McVay,LAR,16,13,3,0,114,69,45,0,114,69,45,0,3,2,1,10,7,3,10,7,3,NFC Champions
Adam Gase,MIA,16,7,9,0,48,23,25,0,80,32,48,0,,,,1,0,1,1,0,1,
Mike Zimmer,MIN,16,8,7,1,129,72,56,1,129,72,56,1,,,,5,2,3,5,2,3,
Sean Payton,NOR,16,13,3,0,241,152,89,0,257,160,97,0,2,1,1,17,9,8,17,9,8,
Bill Belichick,NWE,16,11,5,0,386,266,120,0,466,302,164,0,3,3,0,42,30,12,44,31,13,Super Bowl Champions
Pat Shurmur,NYG,16,5,11,0,32,9,23,0,65,19,46,0,,,,,,,0,0,0,
Todd Bowles,NYJ,16,4,12,0,64,24,40,0,100,42,58,0,,,,,,,1,0,1,
Jon Gruden,OAK,16,4,12,0,117,60,57,0,229,117,112,0,,,,5,2,3,10,5,5,
Doug Pederson,PHI,16,9,7,0,80,42,37,1,113,60,52,1,2,1,1,6,4,2,8,5,3,
Mike Tomlin,PIT,16,9,6,1,274,172,100,2,274,172,100,2,,,,17,8,9,17,8,9,
Pete Carroll,SEA,16,10,6,0,226,136,89,1,290,169,120,1,1,0,1,19,10,9,22,11,11,
Kyle Shanahan,SFO,16,4,12,0,114,64,50,0,114,64,50,0,,,,9,6,3,9,6,3,
Dirk Koetter,TAM,16,5,11,0,48,19,29,0,48,19,29,0,,,,,,,,,,
Mike Vrabel,TEN,16,9,7,0,98,53,45,0,98,53,45,0,,,,5,2,3,5,2,3,
Jay Gruden,WAS,16,7,9,0,85,35,49,1,85,35,49,1,,,,1,0,1,1,0,1,
